ID,Scheme,Source,Language,Comment,Sentiment
24,Sagarmala,Twitter,en,"Yaar Sagarmala se humein real benefit mila, highly recommend karunga.",Positive
25,PM Kisan,Twitter,hinglish,"Teen saal ho gaye PM Kisan ke liye apply kiya, kuch nahi mila.",Negative
26,Startup India,Instagram,hi,"Startup India से हमें कोई फायदा नहीं हुआ, सिर्फ चक्कर लगाने पड़े।",Negative
27,PM Kisan,Public Forum,en,The quality of PM Kisan implementation here is genuinely commendable.,Positive
28,Sukanya Samriddhi,YouTube,en,"Yaar Sukanya Samriddhi se humein real benefit mila, highly recommend karunga.",Positive
29,PM Jeevan Jyoti Bima,Public Forum,hinglish,"PM Jeevan Jyoti Bima ka kaam acha hua hamare area mein, log khush hain.",Positive
30,Atal Pension Yojana,News App,en,"Three offices visited, no one could explain how to access Atal Pension Yojana.",Negative
31,PM Suraksha Bima,News App,en,"Rural areas are completely ignored under PM Suraksha Bima, only cities benefit.",Negative
32,PM eVIDYA,Instagram,en,Need more time to assess the real long-term impact of PM eVIDYA.,Neutral
33,Poshan Abhiyaan,Twitter,en,Heard about Poshan Abhiyaan but have not applied for it yet personally.,Neutral
34,Ayushman Bharat,Twitter,en,"After Ayushman Bharat, my family's financial situation has clearly improved.",Positive
35,e-NAM,News App,en,e-NAM has improved daily life for thousands of families in my area.,Positive
36,Vishwakarma Yojana,Twitter,en,Vishwakarma Yojana exists in our area but I do not know anyone who actually got it.,Neutral
37,e-NAM,Twitter,hi,"e-NAM के बारे में सुना है, अभी तक आवेदन नहीं किया।",Neutral
38,Saubhagya,News App,hi,"Saubhagya के बारे में सुना है, अभी तक आवेदन नहीं किया।",Neutral
39,Saubhagya,News App,en,Saubhagya ke baare mein alag alag log alag alag bol rahe hain.,Neutral
40,UPI,YouTube,en,"Some districts did well with UPI, others not at all unfortunately.",Neutral
41,AMRUT,YouTube,en,"Oh yes, AMRUT is SO effective. That is why my application was rejected twice. 🙄",Sarcasm
42,Sukanya Samriddhi,News App,hi,Sukanya Samriddhi योजना की वजह से परिवार की आर्थिक स्थिति बेहतर हुई।,Positive
43,Startup India,Instagram,hi,"Startup India में भ्रष्टाचार है, बिना रिश्वत के कुछ नहीं होता।",Negative
44,Ujjwala Yojana,YouTube,hi,Ujjwala Yojana के बारे में अभी पूरा आंकलन करना जल्दबाजी होगी।,Neutral
45,PM eVIDYA,Instagram,en,"Launched recently, still too early to fully judge PM eVIDYA effectiveness.",Neutral
46,PM Kisan,Instagram,en,Our whole community saw positive change after PM Kisan was implemented here.,Positive
47,AMRUT,YouTube,en,"Not sure how to access AMRUT benefits, lack of awareness is the issue.",Neutral
48,BharatNet,News App,en,BharatNet ke baare mein alag alag log alag alag bol rahe hain.,Neutral
49,Skill India,YouTube,en,My neighbor's life changed after enrolling in Skill India last year.,Positive
50,Saubhagya,Twitter,en,After Saubhagya was launched our situation is exactly the same as before.,Negative
51,Stand Up India,News App,en,Registration for Stand Up India requires documents that poor families cannot access.,Negative
52,Atal Pension Yojana,YouTube,hinglish,"Atal Pension Yojana ka kaam acha hua hamare area mein, log khush hain.",Positive
53,Poshan Abhiyaan,Twitter,hinglish,Poshan Abhiyaan sirf election ke time ka dikhawa hai bhai.,Negative
54,Make in India,YouTube,en,Great job on Make in India! Three years later and still nothing changed. Amazing! 🙄,Sarcasm
55,Atmanirbhar Bharat,Twitter,en,Atmanirbhar Bharat is one of the few government schemes that actually delivers on its promise.,Positive
56,Mudra Yojana,Twitter,en,The Mudra Yojana scheme has genuinely transformed living conditions in rural India.,Positive
57,Ayushman Bharat,Twitter,en,The Ayushman Bharat initiative is working well in our panchayat area.,Positive
58,PM SVANidhi,Public Forum,en,"Rural areas are completely ignored under PM SVANidhi, only cities benefit.",Negative
59,Skill India,Instagram,hi,Skill India के तहत काम बहुत अच्छा हुआ हमारे जिले में।,Positive
60,Fasal Bima,YouTube,en,"Fasal Bima portal crash karta rehta hai, registration ho hi nahi pati.",Negative
61,PMGSY,News App,en,The PMGSY initiative is working well in our panchayat area.,Positive
62,PMGSY,YouTube,en,PMGSY sounds great on paper but ground implementation is terrible.,Negative
63,AMRUT,YouTube,en,Our whole community saw positive change after AMRUT was implemented here.,Positive
64,BharatNet,Public Forum,en,Registration for BharatNet requires documents that poor families cannot access.,Negative
65,Make in India,News App,en,Make in India is partially helpful in some areas but completely absent in others.,Neutral
66,Mudra Yojana,Twitter,hinglish,"Kuch logon ko Mudra Yojana se mila kuch ko nahi, mixed results hain.",Neutral
67,Swachh Bharat,YouTube,hinglish,Swachh Bharat enrollment easy tha aur time pe benefit mila.,Positive
68,Solar Rooftop,Instagram,en,Solar Rooftop addresses some important needs but ignores equally critical issues.,Neutral
69,Mudra Yojana,Public Forum,hi,Mudra Yojana सिर्फ नेताओं के करीबी लोगों को मिलती है।,Negative
70,PM Kisan,YouTube,en,Government should publish transparent data on actual PM Kisan impact.,Neutral
71,Sagarmala,Twitter,en,"Sure, Sagarmala is working perfectly. That is why nobody in my village got it.",Sarcasm
72,UPI,News App,hinglish,UPI sirf election ke time ka dikhawa hai bhai.,Negative
73,Digital India,Twitter,hi,Digital India सिर्फ नेताओं के करीबी लोगों को मिलती है।,Negative
74,e-NAM,Instagram,en,My neighbor's life changed after enrolling in e-NAM last year.,Positive
75,Jan Dhan Yojana,Instagram,en,Jan Dhan Yojana se gareeb logo ki life mein real change aaya hai.,Positive
76,Ujjwala Yojana,Instagram,en,Registration for Ujjwala Yojana requires documents that poor families cannot access.,Negative
77,Ujjwala Yojana,Instagram,en,We applied for Ujjwala Yojana and received benefits within three months.,Positive
78,Jan Dhan Yojana,News App,en,"Rural areas are completely ignored under Jan Dhan Yojana, only cities benefit.",Negative
79,Digital India,Instagram,en,"Oh great, another Digital India welfare announcement right before poll season. Never seen this! 🙄",Sarcasm
80,Atal Pension Yojana,News App,hi,"हाँ हाँ, Atal Pension Yojana सब ठीक है। एकदम परफेक्ट काम हो रहा है! 😒",Sarcasm
81,One Nation One Ration Card,YouTube,en,One Nation One Ration Card coverage is improving slowly but has a very long way to go.,Neutral
82,Stand Up India,YouTube,en,Hamara Stand Up India application reject ho gaya bina kisi reason ke.,Negative
83,PM Garib Kalyan,Instagram,en,"Oh brilliant, PM Garib Kalyan launched right before elections. What a coincidence! 🙄",Sarcasm
84,FAME,News App,hinglish,"Kuch logon ko FAME se mila kuch ko nahi, mixed results hain.",Neutral
85,PM eVIDYA,News App,hi,"वाह क्या बात है! PM eVIDYA के लिए तीन साल से इंतज़ार, अभी तक कुछ नहीं। कमाल! 🙄",Sarcasm
86,Digital India,Twitter,en,Results from Digital India are mixed depending heavily on which district you are in.,Neutral
87,Vishwakarma Yojana,Instagram,hi,"Vishwakarma Yojana के बारे में सुना है, अभी तक आवेदन नहीं किया।",Neutral
88,PM Matru Vandana,YouTube,hi,हमारे ब्लॉक में PM Matru Vandana का क्रियान्वयन बहुत अच्छे से हुआ।,Positive
89,AMRUT,Instagram,en,"My family directly benefited from AMRUT, it made a real difference for us.",Positive
90,PM eVIDYA,Instagram,en,The benefits of PM eVIDYA arrived quickly and without any major hassle.,Positive
91,One Nation One Ration Card,News App,hi,One Nation One Ration Card से हमें वह मिला जिसकी हमें सालों से जरूरत थी।,Positive
92,Swachh Bharat,News App,en,The Swachh Bharat scheme has genuinely transformed living conditions in rural India.,Positive
93,PM Garib Kalyan,YouTube,en,"PM Garib Kalyan awareness is zero in our area, nobody even knows it exists.",Negative
94,Poshan Abhiyaan,YouTube,en,"Too early to judge Poshan Abhiyaan, let us wait and see the actual outcomes.",Neutral
95,Skill India,YouTube,en,Mixed feedback about Skill India from different people in our locality.,Neutral
96,PM eVIDYA,News App,en,PM eVIDYA se gareeb logo ki life mein real change aaya hai.,Positive
97,Ujjwala Yojana,Twitter,hi,Ujjwala Yojana के तहत काम बहुत अच्छा हुआ हमारे जिले में।,Positive
98,FAME,Twitter,en,"Amazing FAME policy, truly. Works so well that nobody in my area has heard of it. 🙄",Sarcasm
99,PM eVIDYA,Public Forum,hi,PM eVIDYA से हमें वह मिला जिसकी हमें सालों से जरूरत थी।,Positive
100,PM SVANidhi,YouTube,en,"The PM SVANidhi money never reached us, middlemen swallowed everything.",Negative
101,AMRUT,News App,en,Results from AMRUT are mixed depending heavily on which district you are in.,Neutral
102,Saubhagya,Instagram,hi,"Saubhagya के मिश्रित नतीजे हैं, जगह-जगह अलग अनुभव है।",Neutral
103,One Nation One Ration Card,News App,en,Thanks to One Nation One Ration Card my family now has access to something we never had before.,Positive
104,PM Garib Kalyan,Twitter,hi,PM Garib Kalyan के बारे में अभी पूरा आंकलन करना जल्दबाजी होगी।,Neutral
105,PM Jeevan Jyoti Bima,Public Forum,en,The implementation of PM Jeevan Jyoti Bima in our village was smooth and effective.,Positive
106,Skill India,Twitter,en,Skill India has some good aspects but significant improvements are still needed.,Neutral
107,Smart Cities,Instagram,hi,"Smart Cities सिर्फ कागजों पर है, जमीन पर कुछ नहीं होता।",Negative
108,PM eVIDYA,Twitter,en,Heard about PM eVIDYA but have not applied for it yet personally.,Neutral
109,PM Kisan,Twitter,en,I have no direct experience with PM Kisan yet so cannot comment properly.,Neutral
110,PM Jeevan Jyoti Bima,Public Forum,en,"PM Jeevan Jyoti Bima awareness is zero in our area, nobody even knows it exists.",Negative
111,Ujjwala Yojana,Public Forum,hinglish,"Ujjwala Yojana se real help nahi mili, sirf dhakke khane pade office mein.",Negative
112,Bharatmala,Twitter,en,Thanks to Bharatmala my family now has access to something we never had before.,Positive
113,PM Jeevan Jyoti Bima,News App,hinglish,PM Jeevan Jyoti Bima enrollment easy tha aur time pe benefit mila.,Positive
114,Atmanirbhar Bharat,Twitter,hi,"गाँव में Atmanirbhar Bharat का कोई असर नहीं दिखा, सब झूठ है।",Negative
115,Bharatmala,YouTube,hinglish,"Bharatmala ka paisa neta log kha jaate hain, public ko kuch nahi.",Negative
116,PM Jeevan Jyoti Bima,Instagram,en,"Rural areas are completely ignored under PM Jeevan Jyoti Bima, only cities benefit.",Negative
117,Ayushman Bharat,News App,en,Only politically connected people actually receive Ayushman Bharat benefits.,Negative
118,Fasal Bima,Public Forum,hi,Fasal Bima योजना से हमारे गाँव की जिंदगी बदल गई।,Positive
119,UPI,Public Forum,en,The UPI scheme has genuinely transformed living conditions in rural India.,Positive
120,Mudra Yojana,News App,en,Only politically connected people actually receive Mudra Yojana benefits.,Negative
121,Sagarmala,News App,hi,Sagarmala के बारे में अभी पूरा आंकलन करना जल्दबाजी होगी।,Neutral
122,BharatNet,Instagram,en,"Oh great, another BharatNet welfare announcement right before poll season. Never seen this! 🙄",Sarcasm
123,Swachh Bharat,Instagram,en,Our whole community saw positive change after Swachh Bharat was implemented here.,Positive
124,Fasal Bima,YouTube,en,Documents required for Fasal Bima are impossible for illiterate people to arrange.,Negative
125,PMGSY,YouTube,hi,"PMGSY का पैसा बिचौलिए खा जाते हैं, असली गरीब को कुछ नहीं मिलता।",Negative
126,Kisan Credit Card,Instagram,hinglish,"Haan haan, Kisan Credit Card toh bahut achhi hai. Bus kaam nahi karti kuch! 😒",Sarcasm
127,Vishwakarma Yojana,News App,en,The enrollment process for Vishwakarma Yojana was simple and staff were helpful.,Positive
128,Stand Up India,Twitter,hi,"Stand Up India का लाभ हमारे परिवार को सही में मिला, बहुत फायदा हुआ।",Positive
129,PM Kisan,News App,en,"Oh wow, PM Kisan will DEFINITELY reach everyone this time! 🙄",Sarcasm
130,BharatNet,Twitter,en,We applied for BharatNet and received benefits within three months.,Positive
131,Solar Rooftop,Public Forum,en,"Mujhe Solar Rooftop se genuine help mili is saal, thankful hun.",Positive
132,e-NAM,YouTube,hi,"वाह क्या बात है! e-NAM के लिए तीन साल से इंतज़ार, अभी तक कुछ नहीं। कमाल! 🙄",Sarcasm
133,UPI,Instagram,hi,"गाँव में UPI का कोई असर नहीं दिखा, सब झूठ है।",Negative
134,Vishwakarma Yojana,News App,en,"Oh yes, Vishwakarma Yojana is SO effective. That is why my application was rejected twice. 🙄",Sarcasm
135,Fasal Bima,Twitter,hi,"दो साल से Fasal Bima के लिए आवेदन किया, अभी तक कोई जवाब नहीं।",Negative
136,Make in India,Instagram,en,"The Make in India portal keeps crashing, impossible to complete registration.",Negative
137,Smart Cities,YouTube,en,"After Smart Cities, my family's financial situation has clearly improved.",Positive
138,Jal Jeevan Mission,Twitter,en,Thoda aur time lagega Jal Jeevan Mission ka full impact samajhne mein.,Neutral
139,Bharatmala,Instagram,en,"Sure, Bharatmala is working perfectly. That is why nobody in my village got it.",Sarcasm
140,Ayushman Bharat,Instagram,hi,पता नहीं Ayushman Bharat हमारे गाँव में कब आएगी।,Neutral
141,Solar Rooftop,YouTube,hi,Solar Rooftop से गरीब परिवारों को सच में राहत मिली है।,Positive
142,Bharatmala,Twitter,en,"The Bharatmala money never reached us, middlemen swallowed everything.",Negative
143,e-NAM,YouTube,en,My application for e-NAM was rejected on a minor technicality.,Negative
144,Skill India,Twitter,hi,Skill India सिर्फ नेताओं के करीबी लोगों को मिलती है।,Negative
145,Swachh Bharat,News App,en,"The Swachh Bharat portal keeps crashing, impossible to complete registration.",Negative
146,Fasal Bima,News App,en,My neighbor's life changed after enrolling in Fasal Bima last year.,Positive
147,Sukanya Samriddhi,News App,hi,Sukanya Samriddhi से हमें वह मिला जिसकी हमें सालों से जरूरत थी।,Positive
148,PM Garib Kalyan,YouTube,en,PM Garib Kalyan is partially helpful in some areas but completely absent in others.,Neutral
149,Vishwakarma Yojana,Twitter,en,Thanks to Vishwakarma Yojana my family now has access to something we never had before.,Positive
150,Mudra Yojana,YouTube,hi,"Mudra Yojana सिर्फ कागजों पर है, जमीन पर कुछ नहीं होता।",Negative
151,Startup India,News App,en,I was skeptical about Startup India but it genuinely helped my family this year.,Positive
152,Beti Bachao Beti Padhao,Instagram,hi,"दो साल से Beti Bachao Beti Padhao के लिए आवेदन किया, अभी तक कोई जवाब नहीं।",Negative
153,AMRUT,Instagram,en,"Real impact on the ground from AMRUT, not just announcements.",Positive
154,FAME,YouTube,en,Documents required for FAME are impossible for illiterate people to arrange.,Negative
155,PM SVANidhi,News App,hi,PM SVANidhi के फायदे तीन महीने में ही मिलने शुरू हो गए।,Positive
156,Vishwakarma Yojana,Instagram,en,"Vishwakarma Yojana ne sach mein farak padaya, family bahut khush hai.",Positive
157,AMRUT,Twitter,en,AMRUT benefit was given to the wrong family due to data errors.,Negative
158,PM Jeevan Jyoti Bima,YouTube,hi,अरे वाह! PM Jeevan Jyoti Bima इतनी अच्छी योजना और हमें पता भी नहीं था! बहुत शुक्रिया! 🙄,Sarcasm
159,Solar Rooftop,News App,en,"Rural areas are completely ignored under Solar Rooftop, only cities benefit.",Negative
160,PM Suraksha Bima,Twitter,hi,PM Suraksha Bima सिर्फ नेताओं के करीबी लोगों को मिलती है।,Negative
161,Smart Cities,Twitter,en,My neighbor's life changed after enrolling in Smart Cities last year.,Positive
162,FAME,Twitter,hi,FAME सिर्फ नेताओं के करीबी लोगों को मिलती है।,Negative
163,PM Matru Vandana,Instagram,en,PM Matru Vandana made a difference that we can see and feel every single day.,Positive
164,Skill India,News App,hinglish,"Skill India se real help nahi mili, sirf dhakke khane pade office mein.",Negative
165,Sagarmala,YouTube,hinglish,"Sagarmala ka kaam acha hua hamare area mein, log khush hain.",Positive
166,e-NAM,Instagram,en,e-NAM sounds great on paper but ground implementation is terrible.,Negative
167,Skill India,YouTube,en,Skill India benefit was given to the wrong family due to data errors.,Negative
168,AMRUT,Instagram,en,"The AMRUT portal keeps crashing, impossible to complete registration.",Negative
169,Ayushman Bharat Digital Mission,Twitter,en,"Launched recently, still too early to fully judge Ayushman Bharat Digital Mission effectiveness.",Neutral
170,PM Kisan,News App,hi,"दो साल से PM Kisan के लिए आवेदन किया, अभी तक कोई जवाब नहीं।",Negative
171,PMGSY,Twitter,en,Our whole community saw positive change after PMGSY was implemented here.,Positive
172,BharatNet,News App,en,Our whole community saw positive change after BharatNet was implemented here.,Positive
173,PM eVIDYA,Twitter,en,Registration for PM eVIDYA requires documents that poor families cannot access.,Negative
174,Poshan Abhiyaan,Twitter,hi,हमारे ब्लॉक में Poshan Abhiyaan का क्रियान्वयन बहुत अच्छे से हुआ।,Positive
175,Atal Pension Yojana,Instagram,hi,Atal Pension Yojana योजना से हमारे गाँव की जिंदगी बदल गई।,Positive
176,Poshan Abhiyaan,YouTube,en,"Oh yes, Poshan Abhiyaan is SO effective. That is why my application was rejected twice. 🙄",Sarcasm
177,Sagarmala,Twitter,hinglish,"Sagarmala ka paisa neta log kha jaate hain, public ko kuch nahi.",Negative
178,Skill India,YouTube,en,"The Skill India portal keeps crashing, impossible to complete registration.",Negative
179,PM Suraksha Bima,Twitter,en,"PM Suraksha Bima portal crash karta rehta hai, registration ho hi nahi pati.",Negative
180,PM eVIDYA,Instagram,en,PM eVIDYA benefit was rejected without any proper explanation given to us.,Negative
181,Ayushman Bharat,News App,en,"The quality under Ayushman Bharat was terrible, completely unusable.",Negative
182,Saubhagya,Twitter,en,Saubhagya se gareeb logo ki life mein real change aaya hai.,Positive
183,Jan Dhan Yojana,News App,en,Three years of waiting and still no benefit received under Jan Dhan Yojana.,Negative
184,Stand Up India,Public Forum,en,"Yaar Stand Up India se humein real benefit mila, highly recommend karunga.",Positive
185,BharatNet,YouTube,hinglish,"BharatNet se real help nahi mili, sirf dhakke khane pade office mein.",Negative
186,e-NAM,Instagram,en,Thoda aur time lagega e-NAM ka full impact samajhne mein.,Neutral
187,PMGSY,Public Forum,en,The PMGSY numbers look good on paper but ground situation is complex.,Neutral
188,PM Garib Kalyan,YouTube,en,Registration for PM Garib Kalyan requires documents that poor families cannot access.,Negative
189,PM Kisan,YouTube,en,Registration for PM Kisan requires documents that poor families cannot access.,Negative
190,Digital India,Twitter,en,After Digital India was launched our situation is exactly the same as before.,Negative
191,Beti Bachao Beti Padhao,News App,en,"Beti Bachao Beti Padhao ke baare mein suna hai, apply nahi kiya abhi tak.",Neutral
192,Poshan Abhiyaan,News App,en,Poshan Abhiyaan is one of the few government schemes that actually delivers on its promise.,Positive
193,One Nation One Ration Card,Twitter,en,Intentions theek lagte hain One Nation One Ration Card mein par ground reality alag hai.,Neutral
194,Kisan Credit Card,Public Forum,en,"Real impact on the ground from Kisan Credit Card, not just announcements.",Positive
195,Atmanirbhar Bharat,News App,en,Thanks to Atmanirbhar Bharat my family now has access to something we never had before.,Positive
196,Atal Pension Yojana,Twitter,en,Need more time to assess the real long-term impact of Atal Pension Yojana.,Neutral
197,PM SVANidhi,News App,en,Wow they announced PM SVANidhi. Too bad nobody told the officials to implement it.,Sarcasm
198,Sagarmala,Public Forum,en,Sagarmala addresses some important needs but ignores equally critical issues.,Neutral
199,Sukanya Samriddhi,Twitter,en,Sukanya Samriddhi exists in our area but I do not know anyone who actually got it.,Neutral
200,UPI,Twitter,en,"Real impact on the ground from UPI, not just announcements.",Positive
201,e-NAM,YouTube,hi,"e-NAM का पैसा बिचौलिए खा जाते हैं, असली गरीब को कुछ नहीं मिलता।",Negative
202,Solar Rooftop,Twitter,en,"The Solar Rooftop money never reached us, middlemen swallowed everything.",Negative
203,Solar Rooftop,Twitter,en,"Yaar Solar Rooftop se humein real benefit mila, highly recommend karunga.",Positive
204,Swachh Bharat,Twitter,hi,Swachh Bharat योजना की वजह से परिवार की आर्थिक स्थिति बेहतर हुई।,Positive
205,Smart Cities,News App,en,"Real impact on the ground from Smart Cities, not just announcements.",Positive
206,Atal Pension Yojana,News App,hi,Atal Pension Yojana से हमें वह मिला जिसकी हमें सालों से जरूरत थी।,Positive
207,PM Jeevan Jyoti Bima,Twitter,en,I was skeptical about PM Jeevan Jyoti Bima but it genuinely helped my family this year.,Positive
208,Fasal Bima,Twitter,hi,"Fasal Bima के बारे में सुना है, अभी तक आवेदन नहीं किया।",Neutral
209,Stand Up India,Public Forum,hi,Stand Up India से हमें वह मिला जिसकी हमें सालों से जरूरत थी।,Positive
210,FAME,Public Forum,en,"After FAME, my family's financial situation has clearly improved.",Positive
211,Beti Bachao Beti Padhao,YouTube,en,Beti Bachao Beti Padhao made a difference that we can see and feel every single day.,Positive
212,Startup India,Public Forum,hinglish,"Kuch logon ko Startup India se mila kuch ko nahi, mixed results hain.",Neutral
213,Digital India,YouTube,en,Digital India is one of the few government schemes that actually delivers on its promise.,Positive
214,Ayushman Bharat Digital Mission,Instagram,hi,Ayushman Bharat Digital Mission से हमें वह मिला जिसकी हमें सालों से जरूरत थी।,Positive
215,Ayushman Bharat Digital Mission,Twitter,hi,"Ayushman Bharat Digital Mission सिर्फ कागजों पर है, जमीन पर कुछ नहीं होता।",Negative
216,Jal Jeevan Mission,Instagram,en,Sure Jal Jeevan Mission is a huge success. That is why all my neighbours gave up on it. 😒,Sarcasm
217,PM Matru Vandana,Public Forum,hi,"वाह क्या बात है! PM Matru Vandana के लिए तीन साल से इंतज़ार, अभी तक कुछ नहीं। कमाल! 🙄",Sarcasm
218,PM Suraksha Bima,Instagram,en,"Yaar PM Suraksha Bima se humein real benefit mila, highly recommend karunga.",Positive
219,PM SVANidhi,Twitter,hinglish,"Haan haan, PM SVANidhi toh bahut achhi hai. Bus kaam nahi karti kuch! 😒",Sarcasm
220,Digital India,YouTube,hi,Digital India ठीक है लेकिन अभी और सुधार की जरूरत है।,Neutral
221,Mudra Yojana,Instagram,en,"Yaar Mudra Yojana se humein real benefit mila, highly recommend karunga.",Positive
222,Kisan Credit Card,YouTube,hi,"Kisan Credit Card के मिश्रित नतीजे हैं, जगह-जगह अलग अनुभव है।",Neutral
223,PM SVANidhi,Twitter,hi,PM SVANidhi योजना की वजह से परिवार की आर्थिक स्थिति बेहतर हुई।,Positive
224,Atmanirbhar Bharat,Public Forum,en,The benefits of Atmanirbhar Bharat arrived quickly and without any major hassle.,Positive
225,Beti Bachao Beti Padhao,YouTube,en,Both positive and negative experiences reported under Beti Bachao Beti Padhao by different people.,Neutral
226,Sukanya Samriddhi,Instagram,en,"The Sukanya Samriddhi portal keeps crashing, impossible to complete registration.",Negative
227,PM Kisan,Twitter,en,We applied for PM Kisan and received benefits within three months.,Positive
228,Atal Pension Yojana,Instagram,en,We applied for Atal Pension Yojana and received benefits within three months.,Positive
229,Poshan Abhiyaan,Instagram,en,Mixed feedback about Poshan Abhiyaan from different people in our locality.,Neutral
230,Swachh Bharat,Twitter,en,Need more time to assess the real long-term impact of Swachh Bharat.,Neutral
231,Smart Cities,Instagram,en,"Oh sure, Smart Cities DEFINITELY kaam karta hai. Sirf humara luck kharab hai! 🙄",Sarcasm
232,Kisan Credit Card,YouTube,en,"The Kisan Credit Card portal keeps crashing, impossible to complete registration.",Negative
233,Sukanya Samriddhi,News App,en,The intentions behind Sukanya Samriddhi seem good but delivery is unclear.,Neutral
234,PM Matru Vandana,YouTube,en,"Oh great, another PM Matru Vandana welfare announcement right before poll season. Never seen this! 🙄",Sarcasm
235,PMAY,Instagram,en,PMAY sounds great on paper but ground implementation is terrible.,Negative
236,Sagarmala,YouTube,hi,"Sagarmala का पोर्टल काम नहीं करता, रजिस्ट्रेशन हो ही नहीं पाई।",Negative
237,Kisan Credit Card,YouTube,hi,Kisan Credit Card से हमें वह मिला जिसकी हमें सालों से जरूरत थी।,Positive
238,Atmanirbhar Bharat,Instagram,en,Documents required for Atmanirbhar Bharat are impossible for illiterate people to arrange.,Negative
239,Jan Dhan Yojana,Twitter,en,Government should publish transparent data on actual Jan Dhan Yojana impact.,Neutral
240,PM Garib Kalyan,Instagram,hi,PM Garib Kalyan से गरीब परिवारों को सच में राहत मिली है।,Positive
241,PMGSY,Instagram,hi,PMGSY योजना से हमारे गाँव की जिंदगी बदल गई।,Positive
242,Poshan Abhiyaan,YouTube,hinglish,"Poshan Abhiyaan ka kaam acha hua hamare area mein, log khush hain.",Positive
243,Swachh Bharat,Twitter,en,The Swachh Bharat numbers look good on paper but ground situation is complex.,Neutral
244,Jal Jeevan Mission,Twitter,en,Jal Jeevan Mission se gareeb logo ki life mein real change aaya hai.,Positive
245,Stand Up India,Instagram,hi,हमारे ब्लॉक में Stand Up India का क्रियान्वयन बहुत अच्छे से हुआ।,Positive
246,Ayushman Bharat,Twitter,hi,Ayushman Bharat के बारे में अभी पूरा आंकलन करना जल्दबाजी होगी।,Neutral
247,Saubhagya,News App,en,"Oh brilliant, Saubhagya launched right before elections. What a coincidence! 🙄",Sarcasm
248,Digital India,Twitter,en,The Digital India scheme has genuinely transformed living conditions in rural India.,Positive
249,Fasal Bima,Twitter,hi,"Fasal Bima का पैसा बिचौलिए खा जाते हैं, असली गरीब को कुछ नहीं मिलता।",Negative
250,Saubhagya,News App,hi,Saubhagya से हमें वह मिला जिसकी हमें सालों से जरूरत थी।,Positive
251,PM Matru Vandana,YouTube,en,Mixed feedback about PM Matru Vandana from different people in our locality.,Neutral
252,Smart Cities,Twitter,hi,Smart Cities से हमें वह मिला जिसकी हमें सालों से जरूरत थी।,Positive
253,Make in India,News App,en,Make in India has some good aspects but significant improvements are still needed.,Neutral
254,PM Kisan,YouTube,en,"The PM Kisan portal keeps crashing, impossible to complete registration.",Negative
255,Fasal Bima,News App,en,Three years of waiting and still no benefit received under Fasal Bima.,Negative
